#,Company,Symbol,Portfolio%
327,Sba Communications Corp,SBAC,0.05%
328,Hubbell Incorporated,HUBB,0.05%
329,Deckers Outdoor Corp,DECK,0.05%
330,"Axon Enterprise, Inc.",AXON,0.05%
331,Coterra Energy Inc.,CTRA,0.05%
332,"Molina Healthcare, Inc.",MOH,0.05%
333,Eversource Energy,ES,0.05%
334,Baxter International Inc.,BAX,0.05%
335,"Netapp, Inc",NTAP,0.05%
336,"Ulta Beauty, Inc.",ULTA,0.05%
337,Ball Corporation,BALL,0.05%
338,Veralto Corporation,VLTO,0.05%
339,Steel Dynamics Inc,STLD,0.05%
340,Steris Plc,STE,0.05%
341,Ppl Corporation,PPL,0.05%
342,Aptiv Plc,APTV,0.05%
343,Firstenergy Corp.,FE,0.05%
344,Invitation Homes Inc.,INVH,0.05%
345,Illumina Inc,ILMN,0.05%
346,"Brown & Brown, Inc.",BRO,0.05%
347,Huntington Bancshares Inc,HBAN,0.05%
348,"First Solar, Inc.",FSLR,0.05%
349,Ameren Corporation,AEE,0.05%
350,Teledyne Technologies Incorporated,TDY,0.04%
351,Cincinnati Financial Corp,CINF,0.04%
352,"Cboe Global Markets, Inc.",CBOE,0.04%
353,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%
354,"Darden Restaurants, Inc.",DRI,0.04%
355,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%
356,"Textron, Inc.",TXT,0.04%
357,Omnicom Group Inc.,OMC,0.04%
358,"Alexandria Real Estate Equities, Inc.",ARE,0.04%
359,Waters Corp,WAT,0.04%
360,Jacobs Solutions Inc.,J,0.04%
361,"Centerpoint Energy, Inc.",CNP,0.04%
362,"The Cooper Companies, Inc.",COO,0.04%
363,Hologic Inc,HOLX,0.04%
364,Clorox Company,CLX,0.04%
365,"Expedia Group, Inc.",EXPE,0.04%
366,Regions Financial Corp.,RF,0.04%
367,"Principal Financial Group, Inc.",PFG,0.04%
368,Synchrony Financial,SYF,0.04%
369,"United Airlines Holdings, Inc.",UAL,0.04%
370,Laboratory Corporation of America Holdings,LH,0.04%
371,"Leidos Holdings, Inc.",LDOS,0.04%
372,Southwest Airlines Co.,LUV,0.04%
373,Cms Energy Corporation,CMS,0.04%
374,Atmos Energy Corporation,ATO,0.04%
375,"Ventas, Inc.",VTR,0.04%
376,Idex Corporation,IEX,0.04%
377,"Tyler Technologies, Inc.",TYL,0.04%
378,Northern Trust Corp,NTRS,0.04%
379,"Tyson Foods, Inc.",TSN,0.04%
380,Avery Dennison Corp.,AVY,0.04%
381,Las Vegas Sands Corp.,LVS,0.04%
382,Domino's Pizza Inc.,DPZ,0.04%
383,Seagate Technology Holdings Plcs,STX,0.04%
384,Masco Corporation,MAS,0.04%
385,Verisign Inc,VRSN,0.04%
386,"Expeditors International of Washington, Inc.",EXPD,0.04%
387,"Citizens Financial Group, Inc.",CFG,0.04%
388,Marathon Oil Corporation,MRO,0.04%
389,"Nrg Energy, Inc.",NRG,0.04%
390,W.R. Berkley Corporation,WRB,0.04%
391,Factset Research Systems,FDS,0.04%
392,Bunge Global Sa,BG,0.04%
393,"Everest Group, Ltd.",EG,0.04%
394,Skyworks Solutions Inc,SWKS,0.04%
395,Eqt Corp,EQT,0.04%
396,"Essex Property Trust, Inc",ESS,0.04%
397,Celanese Corporation,CE,0.04%
398,"Enphase Energy, Inc.",ENPH,0.04%
399,Jabil Inc.,JBL,0.04%
400,Kellanova,K,0.04%
401,Akamai Technologies Inc,AKAM,0.04%
402,Packaging Corp of America,PKG,0.04%
403,"Teradyne, Inc.",TER,0.04%
404,Quest Diagnostics Inc.,DGX,0.04%
405,"Cf Industries Holding, Inc.",CF,0.04%
406,Carnival Corporation,CCL,0.03%
407,"Conagra Brands, Inc.",CAG,0.03%
408,Trimble Inc.,TRMB,0.03%
409,"Mid-America Apartment Communities, Inc.",MAA,0.03%
410,"Best Buy Company, Inc.",BBY,0.03%
411,Pool Corporation,POOL,0.03%
412,Snap-on Incorporated,SNA,0.03%
413,"Epam Systems, Inc.",EPAM,0.03%
414,Zebra Technologies Corporation,ZBRA,0.03%
415,Nordson Corp,NDSN,0.03%
416,Loews Corporation,L,0.03%
417,"Stanley Black & Decker, Inc.",SWK,0.03%
418,Keycorp,KEY,0.03%
419,Jb Hunt Transport Services Inc,JBHT,0.03%
420,Viatris Inc.,VTRS,0.03%
421,"Host Hotels & Resorts, Inc.",HST,0.03%
422,Albemarle Corporation,ALB,0.03%
423,"Healthpeak Properties, Inc.",DOC,0.03%
424,"Walgreens Boots Alliance, Inc",WBA,0.03%
425,Amcor Plcs,AMCR,0.03%
426,Pentair Plc,PNR,0.03%
427,Live Nation Entertainment Inc.,LYV,0.03%
428,"Revvity, Inc.",RVTY,0.03%
429,Alliant Energy Corporation,LNT,0.03%
430,Kimco Realty Corp.,KIM,0.03%
431,"Charles River Laboratories International, Inc.",CRL,0.03%
432,Henry (Jack) & Associates,JKHY,0.03%
433,The J.M. Smucker Company,SJM,0.03%
434,"Evergy, Inc.",EVRG,0.03%
435,"Lamb Weston Holdings, Inc.",LW,0.03%
436,"Rollins, Inc.",ROL,0.03%
437,Westrock Company,WRK,0.03%
438,Molson Coors Beverage Company Class B,TAP,0.03%
439,International Paper Co.,IP,0.03%
440,"The Interpublic Group of Companies, Inc.",IPG,0.03%
441,Mgm Resorts International,MGM,0.03%
442,Insulet Corporation,PODD,0.03%
443,Gen Digital Inc.,GEN,0.03%
444,Aes Corporation,AES,0.03%
445,Eastman Chemical Company,EMN,0.03%
446,Juniper Networks Inc,JNPR,0.03%
447,"Udr, Inc.",UDR,0.03%
448,Nisource Inc.,NI,0.03%
449,Lkq Corporation,LKQ,0.03%
450,Allegion Public Limited Company,ALLE,0.03%
451,Carmax Inc.,KMX,0.03%
452,"Huntington Ingalls Industries, Inc.",HII,0.03%
453,A.O. Smith Corporation,AOS,0.03%
454,"F5, Inc.",FFIV,0.03%
455,Camden Property Trust,CPT,0.02%
456,"Qorvo, Inc.",QRVO,0.02%
457,"Bath & Body Works, Inc.",BBWI,0.02%
458,Hormel Foods Corporation,HRL,0.02%
459,"Catalent, Inc.",CTLT,0.02%
460,"Universal Health Services, Inc. Class B",UHS,0.02%
461,Bio-Techne Corp.,TECH,0.02%
462,Teleflex Incorporated,TFX,0.02%
463,The Mosaic Company,MOS,0.02%
464,Regency Centers Corporation,REG,0.02%
465,Apa Corporation,APA,0.02%
466,Incyte Genomics Inc,INCY,0.02%
467,Henry Schein Inc,HSIC,0.02%
468,Wynn Resorts Ltd,WYNN,0.02%
469,News Corporation Class A,NWSA,0.02%
470,American Airlines Group Inc.,AAL,0.02%
471,"Assurant, Inc.",AIZ,0.02%
472,"Paycom Software, Inc.",PAYC,0.02%
473,"Dayforce, Inc.",DAY,0.02%
474,"Tapestry, Inc.",TPR,0.02%
475,Brown-Forman Corporation Class B,BF.B,0.02%
476,"Boston Properties, Inc.",BXP,0.02%
477,Campbell Soup Company,CPB,0.02%
478,Solventum Corporation,SOLV,0.02%
479,"Match Group, Inc",MTCH,0.02%
480,Pinnacle West Capital Corporation,PNW,0.02%
481,Generac Holdings Inc,GNRC,0.02%
